variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	num_eigenvalues	combination	n_unique	cos	cos_std	n_parcel	n_task
0.046693711551467336	0.018865560151993126	-11280.01930401762	-1000000010787.2028	-43.4053195278284	-67.11495836669732	7	(3, 5, 11, 15, 16, 18, 21)	7	0.785484254360199	0.07024262845516205	2	7
0.03396547973131197	0.018988175018447427	-4417.397761523245	-1000000003647.6514	-41.758382087258866	-64.14969134849377	7	(4, 8, 9, 15, 20, 23, 25)	7	0.7794163823127747	0.07922743260860443	2	7
0.035705553792045756	0.021218106827461117	-5180.910552963738	-1000000004770.7292	-40.638847348790634	-63.62057683517874	7	(2, 4, 10, 13, 16, 20, 23)	7	0.788398265838623	0.06702493131160736	2	7
0.041891141150150746	0.019111460331896542	-12555.782269307314	-1000000011749.1447	-42.62850024724	-66.04123167490636	7	(1, 3, 5, 10, 17, 22, 23)	7	0.7920276522636414	0.07066811621189117	2	7
0.03249206491612137	0.014302516818800362	-1000000003388.9368	-2000000002805.4348	-62.618645600991414	-85.64408114178939	7	(4, 6, 8, 12, 23, 25, 27)	7	0.7847188115119934	0.07051900029182434	2	7
0.03094387590943864	0.0108050591913705	-1000000003619.3761	-1000000023398.8334	-63.4029746485043	-69.20513114671037	7	(0, 4, 5, 14, 21, 22, 25)	7	0.7782261967658997	0.07466668635606766	2	7
0.03763995377997951	0.014866765452910461	-1000000006255.758	-1000000027825.5911	-64.05175352160411	-69.58799858347328	7	(4, 5, 9, 11, 17, 19, 26)	7	0.7940549850463867	0.07210603356361389	2	7
0.044155579151330435	0.019224980946212198	-5375.719649419926	-1000000004760.8661	-41.697213035346	-64.73379376083398	7	(3, 4, 9, 12, 15, 18, 19)	7	0.7861323952674866	0.06968046724796295	2	7
0.03715179930042634	0.016910547521324773	-4256.788953528658	-1000000003755.9539	-41.419308459758085	-64.4213454250322	7	(0, 1, 2, 10, 12, 13, 27)	7	0.7808175086975098	0.06852195411920547	2	7
0.03783741904732958	0.017634020264850205	-5314.194044350044	-1000000004433.4663	-42.27079696395288	-64.97213789428153	7	(2, 7, 9, 11, 16, 19, 20)	7	0.785365879535675	0.06862615048885345	2	7
0.0315819760319193	0.0159529577580777	-4947.831153205253	-1000000004003.4392	-42.31156584364039	-64.78282323891675	7	(0, 4, 7, 8, 13, 23, 27)	7	0.790278434753418	0.07001443207263947	2	7
0.03400694763744652	0.016270334338672178	-16568.679616471956	-1000000006739.8264	-44.01717908833736	-65.4117884169996	7	(1, 2, 6, 8, 9, 19, 24)	7	0.7822749614715576	0.07501845806837082	2	7
0.039093054736509425	0.013966948824574903	-9887.082207035626	-1000000006780.2832	-43.06391075379564	-66.266018431752	7	(3, 5, 7, 12, 14, 26, 27)	7	0.7775425314903259	0.0720766931772232	2	7
0.04093235987242961	0.014535677571220656	-14189.671615460455	-1000000013204.6171	-44.51726987025234	-67.60271874097693	7	(6, 7, 8, 15, 17, 22, 27)	7	0.7883442044258118	0.07402336597442627	2	7
0.03910382210666198	0.017367527556404208	-544170.8680050052	-1000000364398.8009	-47.104098315595266	-69.7140187706249	7	(11, 12, 13, 15, 18, 25, 26)	7	0.7770807147026062	0.07575218379497528	2	7
0.042207480198982975	0.017163862771905132	-5404.2767720430875	-1000000004586.0833	-41.42245163595205	-64.96847532301605	7	(0, 1, 2, 3, 6, 18, 21)	7	0.7823551297187805	0.07341820001602173	2	7
0.03455827595433383	0.01481846466869821	-10139.068393574187	-1000000009053.3483	-43.88936087273052	-66.79503896822607	7	(4, 5, 7, 13, 16, 18, 21)	7	0.7780892252922058	0.06950975209474564	2	7
0.045635131540481974	0.02093849984802913	-5630.729476068593	-1000000003681.7505	-40.83054083172878	-63.66592904463495	7	(3, 5, 9, 15, 19, 21, 23)	7	0.7822319865226746	0.06873498111963272	2	7
0.04206264201172796	0.01689751353394724	-1000000002659.433	-1000000079548.8215	-61.55991139892522	-68.3643437808881	7	(1, 3, 13, 17, 18, 25, 27)	7	0.7865302562713623	0.06975388526916504	2	7
0.04038003969606664	0.017639212220672305	-4964.319407038038	-1000000004019.6882	-42.250799592009336	-64.8429104222983	7	(8, 12, 13, 14, 15, 17, 18)	7	0.8000750541687012	0.07298587262630463	2	7
0.03423011708631775	0.01718272908359901	-5424.9466427142115	-1000000003787.5066	-41.95135961612626	-64.45176130729155	7	(0, 2, 5, 9, 16, 20, 26)	7	0.7941477298736572	0.07484659552574158	2	7
0.05123672630423852	0.02567495427926921	-14088.009853248883	-1000000006226.7928	-40.579266942560125	-62.95942970586302	7	(2, 10, 15, 17, 19, 20, 23)	7	0.7760944366455078	0.0735243409872055	2	7
0.03095815943955579	0.014089961784149093	-6347.425102647434	-1000000004870.2949	-43.552164564797856	-65.93171504051784	7	(0, 2, 7, 8, 13, 21, 26)	7	0.7804104685783386	0.07168727368116379	2	7
0.036604198562233514	0.016603144651913235	-4692.987982231367	-1000000003802.5754	-42.09115849487275	-64.63192586149464	7	(1, 3, 8, 16, 17, 20, 25)	7	0.7979497313499451	0.07693225145339966	2	7
0.03671085546867678	0.011351529252605309	-6971.818181380307	-1000000006383.4861	-43.869331014760526	-67.25823311778618	7	(7, 11, 12, 14, 16, 19, 22)	7	0.7826347947120667	0.0720759853720665	2	7
0.04097297955933944	0.015675563995647627	-11661.5550719251	-1000000007653.0101	-42.857371914140465	-66.01981111786787	7	(3, 11, 12, 14, 17, 26, 27)	7	0.782579243183136	0.07251410186290741	2	7
0.03287513613490337	0.012542092573091095	-1000000004760.9364	-2000000003999.2285	-63.98845027031934	-86.87988901450073	7	(0, 1, 4, 20, 21, 25, 27)	7	0.7910254597663879	0.0739656463265419	2	7
0.0341886671138265	0.015796972229117467	-1000000003259.0349	-1000000065068.3835	-62.210245618375325	-68.28911647980722	7	(0, 2, 8, 10, 11, 18, 24)	7	0.7935163378715515	0.07146433740854263	2	7
0.039513280817284835	0.0190189752210989	-3542.540382995411	-1000000003124.8099	-40.376970090646694	-63.585901288037064	7	(2, 7, 11, 16, 23, 24, 26)	7	0.7881000638008118	0.07112515717744827	2	7
0.042770043473749485	0.015350004932231822	-5927.311123619711	-1000000005538.7432	-43.05384023313954	-66.35050716132199	7	(2, 7, 16, 17, 19, 21, 24)	7	0.7830529808998108	0.07134545594453812	2	7
0.030534860605788416	0.016248878612299997	-5829.359490516303	-1000000005247.5887	-42.53944565378375	-65.21455978613729	7	(1, 4, 7, 13, 18, 20, 24)	7	0.7911810874938965	0.07720502465963364	2	7
0.04277075072052894	0.02000525000544255	-3401.8601851981525	-1000000002750.1204	-40.23435759024189	-63.07170510448023	7	(1, 2, 6, 12, 15, 24, 26)	7	0.7668529152870178	0.07647798955440521	2	7
0.031618359132550344	0.013525095434490007	-5458.270689550345	-1000000004671.6855	-42.939161425193504	-65.7851797006476	7	(3, 7, 12, 14, 22, 24, 25)	7	0.7799426913261414	0.07398763298988342	2	7
0.036103533381378415	0.016480453565590778	-5460.81036701545	-1000000004727.0925	-42.32869798769714	-65.14973819443773	7	(4, 18, 19, 20, 22, 23, 25)	7	0.7846943736076355	0.0718691423535347	2	7
0.0367431703380826	0.016253273919614297	-6055.872839641639	-1000000005655.4928	-42.7206478316513	-65.74129658433657	7	(4, 6, 10, 15, 21, 24, 26)	7	0.7824587821960449	0.07749678939580917	2	7
0.03315057343432888	0.013903254564917554	-9487.586283294286	-1000000009111.3451	-43.55438933009307	-66.63571706617225	7	(6, 7, 11, 12, 18, 20, 26)	7	0.7820766568183899	0.07190496474504471	2	7
0.03155668411218133	0.012992829292090556	-6042.061684932047	-1000000005211.8555	-43.87886539950218	-66.4917490850749	7	(0, 9, 11, 13, 16, 19, 21)	7	0.788851797580719	0.07159639894962311	2	7
0.034589374811401875	0.012023166198041519	-1000000003877.2487	-2000000003526.4983	-63.604569340777324	-86.72247592313173	7	(6, 16, 19, 20, 21, 22, 27)	7	0.7876812815666199	0.06822693347930908	2	7
0.03306041549253337	0.014767428374847251	-10845.230100881443	-1000000009004.7719	-43.96381434119114	-66.43520812457119	7	(1, 3, 5, 9, 10, 13, 26)	7	0.7917017936706543	0.07126758992671967	2	7
0.03576834843381101	0.012112375012919781	-125941.90219186619	-1000000125554.7286	-48.689589351414966	-72.34936571798912	7	(6, 10, 12, 16, 18, 25, 26)	7	0.7867611050605774	0.07211584597826004	2	7
0.035480096141968065	0.017550185974030703	-8117.574037535194	-1000000007853.7063	-42.58579893036437	-65.81566846884968	7	(1, 3, 13, 16, 20, 21, 23)	7	0.7896378636360168	0.07551738619804382	2	7
0.04671680958215014	0.02149092689425041	-2675.4122288521144	-1000000002355.1766	-39.21635220786453	-62.47089410279195	7	(1, 3, 11, 14, 15, 17, 24)	7	0.7920328974723816	0.07849876582622528	2	7
0.04233072078486121	0.014004693922957447	-1000000002447.4456	-1000000028659.2167	-61.393293652721226	-67.79891091325293	7	(3, 7, 11, 14, 19, 25, 27)	7	0.7867774963378906	0.07410081475973129	2	7
0.03535015409116722	0.017289709664860282	-9960.787348032478	-1000000006787.0956	-42.954448541582224	-65.56321528087112	7	(2, 6, 9, 14, 17, 21, 24)	7	0.7735515236854553	0.07310617715120316	2	7
0.033977582745985564	0.016358318162757634	-5931.513562039406	-1000000004972.0326	-42.55347120244428	-65.28171612295061	7	(0, 1, 4, 8, 9, 17, 23)	7	0.8017050623893738	0.07576937228441238	2	7
