metric,value,n_parcel
variance,0.786137924955832,2
variance,0.7727119050875384,2
variance,0.7756185855048837,2
variance,0.7837305522127354,2
variance,0.7727119050875384,2
variance,0.770360891242556,2
variance,0.7985643600005745,2
variance,0.7724893621503172,2
variance,0.7727119050875384,2
variance,0.7756185855048837,2
variance,0.7727119050875384,2
variance,0.786137924955832,2
variance,0.786137924955832,2
variance,0.7987409617596501,2
variance,0.7718368797589338,2
variance,0.7727119050875384,2
variance,0.7899101873804358,2
variance,0.7708601122423261,2
variance,0.7930744687673569,2
variance,0.7782762169003847,2
variance,0.7756185855048837,2
variance,0.7727119050875384,2
variance,0.7717869210493814,2
variance,0.7734422419083629,2
variance,0.7756185855048837,2
variance,0.786137924955832,2
variance,0.7734422419083629,2
variance,0.7756185855048837,2
variance,0.7756185855048837,2
variance,0.7741050318764832,2
variance,0.7800115954618424,2
variance,0.808708175280414,2
variance,0.7727119050875384,2
variance,0.7812052079886781,2
variance,0.7708601122423261,2
variance,0.7741050318764832,2
variance,0.7816439650972248,2
variance,0.7727119050875384,2
variance,0.786137924955832,2
variance,0.7708601122423261,2
variance,0.7708601122423261,2
variance,0.7734422419083629,2
variance,0.7837305522127354,2
variance,0.7756185855048837,2
variance,0.7717869210493814,2
variance,0.7708601122423261,2
variance,0.7727119050875384,2
variance,0.7717869210493814,2
variance,0.7837305522127354,2
variance,0.7717869210493814,2
variance,0.7963268157576611,2
variance,0.7756185855048837,2
variance,0.7727119050875384,2
variance,0.7812052079886781,2
variance,0.7777320855157513,2
variance,0.7657201450789666,2
variance,0.7899101873804358,2
variance,0.7984535051974103,2
variance,0.7727119050875384,2
variance,0.7899101873804358,2
variance,0.786137924955832,2
variance,0.7837305522127354,2
variance,0.7724893621503172,2
variance,0.786137924955832,2
variance,0.786137924955832,2
variance,0.7657201450789666,2
variance,0.7756185855048837,2
variance,0.7812052079886781,2
variance,0.7987409617596501,2
variance,0.7984535051974103,2
variance,0.7756185855048837,2
variance,0.7727119050875384,2
variance,0.7717869210493814,2
variance,0.7985643600005745,2
variance,0.7987409617596501,2
variance,0.7837305522127354,2
