variance	variance_mc	inverse_trace	inverse_trace_mc	log_det	log_det_mc	eigenvalues	num_eigenvalues	n_tasks	combination	n_unique	combination_tuple	cos
0.03669851885652895	0.012256109600125104	-688.8638771785553	-482.4722910149402	-15.031851216671084	-10.580654214636613	[0.00961378763354265, 0.002642321966582455]	2	3	(18, 19, 21)	3	(18, 19, 21)	0.8656852133449462
0.04454833511381931	0.030152263841895385	-392.5007218982325	-191.35816989100758	-13.489824928219459	-8.75564217968095	[0.023425980922200974, 0.006726282919694413]	2	3	(2, 19, 21)	3	(2, 19, 21)	0.8486618576285533
0.01337676042559901	0.004682492997036113	-1003.1036699282806	-876.8848183996175	-16.90410121618681	-12.14030026703657	[0.002717434216964662, 0.0019650587800714514]	2	3	(6, 8, 22)	3	(6, 8, 22)	0.9196878408738715
0.02295420101636783	0.013151952718492453	-846.6956836412007	-479.8760788005149	-15.613066124428276	-10.504712937084857	[0.010555484864588065, 0.0025964678539043885]	2	3	(9, 12, 28)	3	(9, 12, 28)	0.8858075925976264
0.03693139604716919	0.03192710066591392	-466.02300081027636	-133.7053608476309	-14.028487974154238	-8.33993865859668	[0.019969539501198057, 0.011957561164715868]	2	3	(11, 18, 20)	3	(11, 18, 20)	0.8070293023160581
0.016659742207605324	0.01156759240033843	-690.9802315324655	-483.25560811594664	-15.941743841728307	-10.640093572309116	[0.00886851651092781, 0.0026990758894106194]	2	3	(6, 22, 24)	3	(6, 22, 24)	0.9444864433543771
0.027153270467826982	0.021700522184931646	-528.4656015834272	-283.5473238646449	-14.896918483087328	-9.477797991352679	[0.0172686634867949, 0.0044318586981367475]	2	3	(9, 19, 27)	3	(9, 19, 27)	0.822229810153401
0.04127120762756163	0.028779358262028563	-333.32325332459027	-157.3520617900745	-13.483567170578402	-8.60658260245918	[0.01930546870151459, 0.009473889560513975]	2	3	(2, 3, 27)	3	(2, 3, 27)	0.9081522663632478
0.021973723033256332	0.01702147526282905	-562.8539597466875	-311.3253171611267	-15.281216198259417	-9.814117882753958	[0.012724811021283157, 0.004296664241545895]	2	3	(10, 20, 22)	3	(10, 20, 22)	0.9600497742178385
0.029748941167756497	0.022138957835234584	-407.9275742919335	-232.57614652355485	-14.340838616935487	-9.25963410772519	[0.01629855296510556, 0.005840404870129026]	2	3	(7, 19, 24)	3	(7, 19, 24)	0.839952086330794
0.039148618294377276	0.027928351131034233	-378.9929056485554	-250.62605090406777	-13.792954551309846	-9.102074927719976	[0.02310550200117455, 0.0048228491298596835]	2	3	(2, 26, 28)	3	(2, 26, 28)	0.8526172464297371
0.018411529573967463	0.008616158168374763	-1113.427279672913	-877.3957593879252	-16.33390902592964	-11.531074137341879	[0.00726432588809086, 0.001351832280283903]	2	3	(6, 11, 14)	3	(6, 11, 14)	0.9395933822984839
0.01772489130116932	0.01089543962527797	-2796.4865955565365	-1898.1081426881888	-17.386647057689586	-12.068023915022673	[0.010340315615653718, 0.0005551240096242523]	2	3	(21, 22, 28)	3	(21, 22, 28)	0.8756764641908893
0.036721707603901164	0.027182003074207393	-320.32837112966405	-152.76137308848317	-13.605525916097008	-8.634077227202924	[0.01619439373635435, 0.010987609337853045]	2	3	(15, 17, 24)	3	(15, 17, 24)	0.8443410910113226
0.03843121421350786	0.014415517794450617	-715.3597224752931	-620.0997681974434	-14.764010720493024	-10.669330409547122	[0.012565435073332083, 0.0018500827211185339]	2	3	(12, 16, 17)	3	(12, 16, 17)	0.8539237897359016
0.03704031008968797	0.019125009907782056	-664.2057515753283	-431.5228467920879	-14.953036752237724	-10.024078837712008	[0.016427029158240063, 0.002697980749541993]	2	3	(18, 19, 25)	3	(18, 19, 25)	0.8518379132208761
0.04044117840927203	0.03003460727591677	-262.8661914591393	-148.35120296430318	-13.185508824286012	-8.504987441978008	[0.01981973009088442, 0.010214877185032351]	2	3	(13, 15, 17)	3	(13, 15, 17)	0.8374621392975538
0.016384259387618255	0.006250565444304836	-767.3382500763078	-659.9358977287317	-16.181164140219508	-11.567226053887445	[0.00366926661557175, 0.0025812988287330857]	2	3	(8, 14, 26)	3	(8, 14, 26)	0.9795159063010388
0.02793216980324007	0.01940931454698272	-418.48852438885837	-261.2277423272823	-14.461370561925442	-9.507394799667427	[0.014163358392279949, 0.005245956154702772]	2	3	(0, 17, 27)	3	(0, 17, 27)	0.876310331363344
0.032280357297542334	0.026079757355753713	-337.41489797767866	-164.67353159840744	-13.87617522920572	-8.750560763330451	[0.016455423320910163, 0.009624334034843548]	2	3	(5, 15, 20)	3	(5, 15, 20)	0.9307839309278091
0.026123710125349465	0.021520822459701286	-644.1580586648615	-268.42731570753944	-15.262867843257402	-9.431314498333105	[0.01672804957734769, 0.004792772882353598]	2	3	(9, 19, 22)	3	(9, 19, 22)	0.8299610185940193
