metric,value,battery_size
variance,0.8098049469822101,4
variance,0.7781429771725884,4
variance,0.8292589765504039,4
variance,0.7691897557052808,4
variance,0.8447617162320632,4
variance,0.7495699868816613,4
variance,0.846981390526881,4
variance,0.8478626591431052,4
variance,0.9904083780296059,4
variance,0.7372895683559998,4
variance,0.7893611882134163,4
variance,0.8212166638180544,4
variance,0.7893611882134163,4
variance,0.7809653296013562,4
variance,0.8447617162320632,4
variance,0.8478626591431052,4
variance,0.7588917226352772,4
variance,0.8447617162320632,4
variance,0.8292589765504039,4
variance,0.7372895683559998,4
variance,0.7781429771725884,4
variance,0.8478626591431052,4
variance,0.7893611882134163,4
variance,0.7691897557052808,4
variance,0.9904083780296059,4
variance,0.7937776152729089,4
variance,0.7692296406855803,4
variance,0.7809653296013562,4
variance,0.8180957338220631,4
variance,0.7691897557052808,4
variance,0.7809653296013562,4
variance,0.8478626591431052,4
variance,0.7893611882134163,4
variance,0.8292589765504039,4
variance,0.8409749498410118,4
variance,0.8447617162320632,4
variance,0.8180957338220631,4
variance,0.8292589765504039,4
variance,0.8469203001368527,4
variance,0.8229319550168547,4
variance,0.7691897557052808,4
variance,0.7457697719744543,4
variance,0.7893611882134163,4
variance,0.846981390526881,4
variance,0.8292589765504039,4
variance,0.7781429771725884,4
variance,0.8180957338220631,4
variance,0.8478626591431052,4
variance,0.8292589765504039,4
variance,0.7457697719744543,4
variance,0.7372895683559998,4
variance,0.8091611535190054,4
variance,0.8478626591431052,4
variance,0.9904083780296059,4
variance,0.7809653296013562,4
variance,0.8447617162320632,4
variance,0.8212166638180544,4
variance,0.9904083780296059,4
variance,0.7588917226352772,4
variance,0.8212166638180544,4
variance,0.8292589765504039,4
variance,0.8447617162320632,4
variance,0.7457697719744543,4
variance,0.8292589765504039,4
variance,0.8478626591431052,4
variance,0.9904083780296059,4
variance,0.7893611882134163,4
variance,0.7691897557052808,4
variance,0.7457697719744543,4
variance,0.7691897557052808,4
variance,0.8447617162320632,4
variance,0.8098049469822101,4
variance,0.8292589765504039,4
variance,0.8478626591431052,4
variance,0.8180957338220631,4
variance,0.8292589765504039,4
variance,0.8212166638180544,4
variance,0.7495699868816613,4
variance,0.8409749498410118,4
variance,0.7912909130771819,4
variance,0.7588917226352772,4
variance,0.7495699868816613,4
variance,0.7692296406855803,4
variance,0.7893611882134163,4
variance,0.7893611882134163,4
variance,0.8409749498410118,4
variance,0.8180957338220631,4
variance,0.8447617162320632,4
variance,0.7781429771725884,4
variance,0.8292589765504039,4
variance,0.8409749498410118,4
variance,0.8212166638180544,4
variance,0.7912909130771819,4
variance,0.7809653296013562,4
variance,0.804584173840808,4
variance,0.7691897557052808,4
variance,0.7893611882134163,4
variance,0.8235552300625718,4
variance,0.9904083780296059,4
variance,0.8292589765504039,4
variance,0.8292589765504039,4
variance,0.8098049469822101,4
variance,0.7691897557052808,4
variance,0.7912909130771819,4
variance,0.9904083780296059,4
variance,0.8478626591431052,4
variance,0.7691897557052808,4
variance,0.7841532111569031,4
variance,0.8292589765504039,4
variance,0.846981390526881,4
variance,0.9904083780296059,4
variance,0.8256873196593818,4
variance,0.8447617162320632,4
variance,0.8478626591431052,4
variance,0.7691897557052808,4
variance,0.7893611882134163,4
variance,0.8098049469822101,4
variance,0.9904083780296059,4
variance,0.7912909130771819,4
variance,0.8409749498410118,4
variance,0.7691897557052808,4
variance,0.7691897557052808,4
