threshold	accuracy
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.575091575091575
0.6	0.5714285714285714
0.7	0.5644444444444445
0.8	0.5659722222222222
0.9	0.5206971677559913
0.95	0.4996825396825397
0.99	0.4649877331441577
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
0.7	0.8666666666666667
0.8	0.9965277777777778
0.9	0.803921568627451
0.95	0.6571428571428571
0.99	0.49454642192072357
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.5873015873015873
0.6	0.6058201058201058
0.7	0.6088888888888888
0.8	0.5798611111111112
0.9	0.5468409586056645
0.95	0.5149206349206349
0.99	0.4590759953888445
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
0.7	0.7392592592592593
0.8	0.7083333333333333
0.9	0.6514161220043573
0.95	0.586031746031746
0.99	0.4827229464100972
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
0.7	0.7422222222222221
0.8	0.6944444444444444
0.9	0.5860566448801743
0.95	0.5301587301587302
0.99	0.4590759953888445
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.5897435897435898
0.6	0.582010582010582
0.7	0.5792592592592593
0.8	0.5729166666666667
0.9	0.55119825708061
0.95	0.4844444444444444
0.99	0.4708994708994709
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
0.7	0.7422222222222221
0.8	0.7048611111111112
0.9	0.6034858387799564
0.95	0.5403174603174603
0.99	0.4472525198782182
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
