n_task	metric	cos_err	iteration	roi	n_parcel
3	random	[0.8582332134246826, 0.8669643402099609, 0.8916983604431152, 0.8500409722328186, 0.871826171875, 0.8510244488716125, 0.8025286197662354, 0.7762155532836914, 0.9135398268699646, 0.8896539211273193, 0.7512602210044861, 0.8217666149139404, 0.7483322024345398, 0.9713749885559082, 0.9457367658615112, 0.8203040957450867, 0.9300951957702637, 0.8452229499816895, 0.828916609287262, 0.8164566159248352, 0.7958646416664124, 0.8830851912498474, 0.8976630568504333, 0.8550744652748108]	2	all	24
3	variance	[0.8320598006248474, 0.7994651198387146, 0.8690949082374573, 0.7888634204864502, 0.8710471987724304, 0.7596115469932556, 0.7517407536506653, 0.755912184715271, 0.8900894522666931, 0.8113245964050293, 0.6722182035446167, 0.7713256478309631, 0.7016316056251526, 0.8296124339103699, 0.8850391507148743, 0.7087064385414124, 0.8193286061286926, 0.8107284903526306, 0.7684305906295776, 0.7718462347984314, 0.8215845227241516, 0.81217360496521, 0.872955322265625, 0.8338144421577454]	2	all	24
3	variance_mc	[0.8349124193191528, 0.8115301132202148, 0.8617954254150391, 0.7961468696594238, 0.8454164862632751, 0.772606372833252, 0.7116141319274902, 0.7597248554229736, 0.8786848783493042, 0.8131142258644104, 0.6766600012779236, 0.7656129598617554, 0.6931642889976501, 0.8266516923904419, 0.8798890113830566, 0.7475199103355408, 0.8047606348991394, 0.7990805506706238, 0.7841659784317017, 0.7769346237182617, 0.8357146382331848, 0.8263171911239624, 0.872089684009552, 0.8034446835517883]	2	all	24
3	log_det_mc	[0.829654335975647, 0.8071604371070862, 0.8631977438926697, 0.797400951385498, 0.8435614705085754, 0.7820995450019836, 0.6966094374656677, 0.7611323595046997, 0.871124267578125, 0.8121694922447205, 0.6601187586784363, 0.7565324902534485, 0.6952500939369202, 0.8432777523994446, 0.8880630731582642, 0.7508710622787476, 0.8017931580543518, 0.7975876927375793, 0.7722002863883972, 0.7674731016159058, 0.8367816805839539, 0.8459862470626831, 0.8739690780639648, 0.8083917498588562]	2	all	24
3	inverse_trace_mc	[0.8292868733406067, 0.8131305575370789, 0.8665299415588379, 0.8056455254554749, 0.8567407727241516, 0.7971277236938477, 0.7270734310150146, 0.7543891072273254, 0.8879020810127258, 0.8125500679016113, 0.6716298460960388, 0.7664215564727783, 0.6890411972999573, 0.8343890309333801, 0.91927570104599, 0.7599660754203796, 0.8112407326698303, 0.8121175765991211, 0.7967046499252319, 0.7723098993301392, 0.834339439868927, 0.8479301333427429, 0.8650810718536377, 0.8019269704818726]	2	all	24
3	random	[0.8504519462585449, 0.8321358561515808, 0.8263495564460754, 0.863245964050293, 0.8739378452301025, 0.8430394530296326, 0.7681406140327454, 0.8239277601242065, 0.9324421286582947, 0.857882022857666, 0.7757878303527832, 0.7923394441604614, 0.7713908553123474, 0.9470146298408508, 0.9551419019699097, 0.7652562260627747, 0.9175438284873962, 0.8222513794898987, 0.878098726272583, 0.7560610771179199, 0.8384127020835876, 0.8899087309837341, 0.8901041150093079, 0.8914802074432373]	3	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833678364753723, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	3	all	24
3	variance_mc	[0.8269529342651367, 0.8024407029151917, 0.8628904223442078, 0.8055721521377563, 0.8461917638778687, 0.7737945914268494, 0.7239304184913635, 0.7575819492340088, 0.8733378052711487, 0.8181350827217102, 0.6975917220115662, 0.7653563618659973, 0.6934584379196167, 0.8553042411804199, 0.8879154324531555, 0.7505984306335449, 0.795321524143219, 0.8001022934913635, 0.7772542238235474, 0.7793449759483337, 0.8345665335655212, 0.8444693088531494, 0.8697357177734375, 0.8103809952735901]	3	all	24
3	log_det_mc	[0.8296679258346558, 0.8082265853881836, 0.8600587844848633, 0.8037089109420776, 0.8487434387207031, 0.7987544536590576, 0.7121589779853821, 0.7640631794929504, 0.8857027888298035, 0.8186437487602234, 0.6798967123031616, 0.7636422514915466, 0.6908915042877197, 0.843941330909729, 0.8995799422264099, 0.7640130519866943, 0.8245341181755066, 0.7957519888877869, 0.8060790300369263, 0.7740609645843506, 0.8327536582946777, 0.8558436632156372, 0.867586076259613, 0.8070619702339172]	3	all	24
3	inverse_trace_mc	[0.8305734395980835, 0.7973756194114685, 0.8550595641136169, 0.8049903512001038, 0.8680194616317749, 0.7812275886535645, 0.7086997032165527, 0.7605042457580566, 0.8811347484588623, 0.8198471665382385, 0.6784499883651733, 0.7785172462463379, 0.6925892233848572, 0.8402881026268005, 0.8969477415084839, 0.7423976063728333, 0.7961854934692383, 0.7902873754501343, 0.768511176109314, 0.7672998309135437, 0.8198316097259521, 0.8472601175308228, 0.863243043422699, 0.8051769137382507]	3	all	24
3	random	[0.8431352972984314, 0.8190715909004211, 0.8807257413864136, 0.8626165986061096, 0.8499654531478882, 0.8111417293548584, 0.6659393310546875, 0.749542236328125, 0.8730096817016602, 0.8637911081314087, 0.7382150888442993, 0.8113947510719299, 0.7610208988189697, 0.8988561034202576, 0.931861162185669, 0.7145465016365051, 0.8536598086357117, 0.7629375457763672, 0.8207955956459045, 0.7715674638748169, 0.7833606600761414, 0.837151825428009, 0.9112130999565125, 0.811593770980835]	4	all	24
3	variance	[0.8684273958206177, 0.8412735462188721, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833645582199097, 0.8700715899467468, 0.7069004774093628, 0.7814491987228394, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	4	all	24
3	variance_mc	[0.83580082654953, 0.7826752066612244, 0.8660644888877869, 0.8102942109107971, 0.8625795841217041, 0.7753443121910095, 0.6985841393470764, 0.7596077919006348, 0.8758093118667603, 0.8081310987472534, 0.6682343482971191, 0.7796883583068848, 0.689687192440033, 0.823192298412323, 0.9081726670265198, 0.7524880170822144, 0.7982819080352783, 0.7914911508560181, 0.7790327668190002, 0.7729439735412598, 0.8437497615814209, 0.8406866788864136, 0.8757121562957764, 0.804995596408844]	4	all	24
3	log_det_mc	[0.8276330232620239, 0.8022105097770691, 0.8609191179275513, 0.8173501491546631, 0.8471634984016418, 0.7921726703643799, 0.7219277620315552, 0.7646556496620178, 0.8746763467788696, 0.8208035230636597, 0.6753670573234558, 0.7666686177253723, 0.6886951923370361, 0.8428524732589722, 0.9077785015106201, 0.7591845989227295, 0.8124448657035828, 0.8111472129821777, 0.7965186834335327, 0.769448459148407, 0.8247913122177124, 0.8418285250663757, 0.8587267994880676, 0.8039911389350891]	4	all	24
3	inverse_trace_mc	[0.8310908675193787, 0.7954195737838745, 0.8704562187194824, 0.8146082162857056, 0.8468878865242004, 0.8055477142333984, 0.7234214544296265, 0.7552756667137146, 0.879715085029602, 0.8122947812080383, 0.6934157609939575, 0.7620636820793152, 0.6924212574958801, 0.8740654587745667, 0.9077585935592651, 0.7616114020347595, 0.8111990094184875, 0.8182067275047302, 0.7767419219017029, 0.764453649520874, 0.8378315567970276, 0.8384564518928528, 0.8761759400367737, 0.816334068775177]	4	all	24
3	random	[0.8750481605529785, 0.7546243071556091, 0.8042812943458557, 0.721013605594635, 0.8486409187316895, 0.8011875748634338, 0.6835452914237976, 0.7410122156143188, 0.9366464018821716, 0.7641329169273376, 0.6878593564033508, 0.7586559057235718, 0.6765824556350708, 0.8220429420471191, 0.8842528462409973, 0.6714895963668823, 0.7909683585166931, 0.780600368976593, 0.7914566397666931, 0.7613199949264526, 0.7614895701408386, 0.8206757307052612, 0.8177018165588379, 0.7809047698974609]	5	all	24
3	variance	[0.8320598006248474, 0.7994651198387146, 0.8690949082374573, 0.7888634204864502, 0.8710471987724304, 0.7596115469932556, 0.7517407536506653, 0.755912184715271, 0.8900894522666931, 0.8113245964050293, 0.6722182035446167, 0.7713256478309631, 0.7016316056251526, 0.8296124339103699, 0.8850391507148743, 0.7087064385414124, 0.8193286061286926, 0.8107284903526306, 0.7684305906295776, 0.7718462347984314, 0.8215845227241516, 0.81217360496521, 0.872955322265625, 0.8338144421577454]	5	all	24
3	variance_mc	[0.8285557627677917, 0.7823039889335632, 0.8410574197769165, 0.8125206828117371, 0.8615591526031494, 0.7902005314826965, 0.7301550507545471, 0.7530173063278198, 0.8844370245933533, 0.8220399618148804, 0.7096017003059387, 0.7732000350952148, 0.6883805394172668, 0.8753341436386108, 0.9219257235527039, 0.7432265281677246, 0.7845479846000671, 0.8099837899208069, 0.7703202962875366, 0.750479519367218, 0.8307657241821289, 0.8433265686035156, 0.8702464699745178, 0.798825204372406]	5	all	24
3	log_det_mc	[0.8232501745223999, 0.778350830078125, 0.8333257436752319, 0.7978324890136719, 0.8486314415931702, 0.7703021764755249, 0.6915357708930969, 0.7577667832374573, 0.8747162222862244, 0.8226662874221802, 0.6837661266326904, 0.7742944359779358, 0.689568817615509, 0.8760785460472107, 0.9024568200111389, 0.7284190058708191, 0.7783827781677246, 0.7963411211967468, 0.774721086025238, 0.7581529021263123, 0.8268921971321106, 0.8393332958221436, 0.8754335641860962, 0.8031293749809265]	5	all	24
3	inverse_trace_mc	[0.8322727084159851, 0.781895637512207, 0.8409068584442139, 0.8071655631065369, 0.8620182275772095, 0.7796505093574524, 0.7264838814735413, 0.7456164956092834, 0.8770290613174438, 0.8210301995277405, 0.6907614469528198, 0.7698364853858948, 0.6997416019439697, 0.8376922011375427, 0.9094993472099304, 0.74111008644104, 0.7858016490936279, 0.782395601272583, 0.7737630009651184, 0.7452059984207153, 0.8334859609603882, 0.8366150259971619, 0.8755637407302856, 0.7967393398284912]	5	all	24
3	random	[0.8400806188583374, 0.8388493061065674, 0.8665823936462402, 0.8189409375190735, 0.878387451171875, 0.8676700592041016, 0.7843517065048218, 0.7977001667022705, 0.9208796620368958, 0.8685520887374878, 0.7316306233406067, 0.8234426379203796, 0.7367228865623474, 0.9134408235549927, 0.9388521313667297, 0.7928121089935303, 0.9667760133743286, 0.8154672980308533, 0.8623179197311401, 0.7756800055503845, 0.8626130819320679, 0.8756484985351562, 0.8888247013092041, 0.9344392418861389]	6	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8834006786346436, 0.8700715899467468, 0.7069004774093628, 0.7814491987228394, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	6	all	24
3	variance_mc	[0.83219313621521, 0.795931875705719, 0.8586624264717102, 0.8065866231918335, 0.8566499352455139, 0.785182774066925, 0.7026736736297607, 0.7635416984558105, 0.8712539076805115, 0.814359188079834, 0.665045440196991, 0.7906902432441711, 0.7160564661026001, 0.835669755935669, 0.8841904997825623, 0.7533155083656311, 0.809397280216217, 0.811976969242096, 0.7725669145584106, 0.7686936855316162, 0.8316106200218201, 0.823162317276001, 0.863856315612793, 0.8034127354621887]	6	all	24
3	log_det_mc	[0.8360866904258728, 0.8132964372634888, 0.8554801940917969, 0.7999675273895264, 0.8436039090156555, 0.7736188769340515, 0.7083696722984314, 0.7638611197471619, 0.8740012049674988, 0.807135283946991, 0.6861802339553833, 0.7769405245780945, 0.6930391788482666, 0.833258867263794, 0.8873428106307983, 0.7469519376754761, 0.8004616498947144, 0.7897430658340454, 0.7747189402580261, 0.7724842429161072, 0.8394312262535095, 0.8281657099723816, 0.8728114366531372, 0.8052989840507507]	6	all	24
3	inverse_trace_mc	[0.8248702883720398, 0.7959423661231995, 0.8642600774765015, 0.8068059086799622, 0.8525559902191162, 0.780848503112793, 0.7012856602668762, 0.7654914855957031, 0.8718955516815186, 0.8170388340950012, 0.6780483722686768, 0.7851210832595825, 0.6938454508781433, 0.8698656558990479, 0.8985232710838318, 0.7632507085800171, 0.7986750602722168, 0.8115561008453369, 0.7733426094055176, 0.7739948630332947, 0.8300278186798096, 0.8395389914512634, 0.8709819316864014, 0.8149611353874207]	6	all	24
3	random	[0.8558791875839233, 0.8669124841690063, 0.9131901264190674, 0.8091424703598022, 0.8774350881576538, 0.8417244553565979, 0.809623658657074, 0.8132115602493286, 0.9126846790313721, 0.8784092664718628, 0.7530474662780762, 0.815607488155365, 0.8111894726753235, 0.8835656046867371, 0.899003803730011, 0.7822421789169312, 0.8723527193069458, 0.7876641154289246, 0.8221015334129333, 0.8849422931671143, 0.8538330793380737, 0.8678382635116577, 0.9240291714668274, 0.875666618347168]	7	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560816645622253, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833678364753723, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.709303081035614, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	7	all	24
3	variance_mc	[0.832867443561554, 0.7983529567718506, 0.8649939894676208, 0.8090860843658447, 0.8535951375961304, 0.7849057912826538, 0.7212181091308594, 0.7555079460144043, 0.8747557997703552, 0.8118324279785156, 0.6800701022148132, 0.782703697681427, 0.7102364301681519, 0.8867353796958923, 0.8872464299201965, 0.753064751625061, 0.810964047908783, 0.8088148832321167, 0.7772200107574463, 0.7642895579338074, 0.839599072933197, 0.8343190550804138, 0.867747962474823, 0.8085806965827942]	7	all	24
3	log_det_mc	[0.8382338285446167, 0.7878519892692566, 0.8623123168945312, 0.8204504251480103, 0.8559637665748596, 0.7896097302436829, 0.7214432954788208, 0.7603766322135925, 0.8719012141227722, 0.8136938810348511, 0.6772876381874084, 0.7821292281150818, 0.7141136527061462, 0.8622753620147705, 0.8890570998191833, 0.7600553035736084, 0.8125736117362976, 0.8083884716033936, 0.7762823700904846, 0.7686630487442017, 0.8305763602256775, 0.8305730223655701, 0.8734244704246521, 0.8050898313522339]	7	all	24
3	inverse_trace_mc	[0.826570987701416, 0.8235429525375366, 0.8634166717529297, 0.8035767674446106, 0.8576738238334656, 0.8124051094055176, 0.7259942889213562, 0.762956976890564, 0.8900851607322693, 0.8162479996681213, 0.6918801665306091, 0.7800887227058411, 0.6922056674957275, 0.8258676528930664, 0.9129193425178528, 0.7483087778091431, 0.814752995967865, 0.8149620890617371, 0.7995097637176514, 0.7693368196487427, 0.8351868391036987, 0.8441026210784912, 0.8668280243873596, 0.8046732544898987]	7	all	24
3	random	[0.8529989719390869, 0.7690957188606262, 0.8214783072471619, 0.7530219554901123, 0.8508063554763794, 0.8196403980255127, 0.7554617524147034, 0.7407681941986084, 0.8960198760032654, 0.8300962448120117, 0.7770832180976868, 0.762111246585846, 0.7114094495773315, 0.913708508014679, 0.8946772217750549, 0.7192952036857605, 0.893867552280426, 0.810920774936676, 0.8061927556991577, 0.7975637912750244, 0.7490873336791992, 0.8018938302993774, 0.8694404363632202, 0.8877158761024475]	8	all	24
3	variance	[0.8320598006248474, 0.7994651198387146, 0.8690949082374573, 0.7888634204864502, 0.8710471987724304, 0.759568989276886, 0.7517407536506653, 0.755912184715271, 0.8900894522666931, 0.8113245964050293, 0.6722182035446167, 0.7713256478309631, 0.7016316056251526, 0.8296124339103699, 0.8850391507148743, 0.7087064385414124, 0.8193286061286926, 0.8107284903526306, 0.7684305906295776, 0.7718462347984314, 0.8215845227241516, 0.81217360496521, 0.872955322265625, 0.8338144421577454]	8	all	24
3	variance_mc	[0.8297737836837769, 0.827010989189148, 0.8687555193901062, 0.7907040119171143, 0.8455655574798584, 0.7765802145004272, 0.7095962762832642, 0.7640061974525452, 0.8792380094528198, 0.8055939078330994, 0.6634528040885925, 0.7694486975669861, 0.6959502696990967, 0.8759060502052307, 0.8999571204185486, 0.7520141005516052, 0.8006994128227234, 0.7905340194702148, 0.7893516421318054, 0.773377001285553, 0.8330254554748535, 0.8394280076026917, 0.8728373050689697, 0.8038427829742432]	8	all	24
3	log_det_mc	[0.8332976698875427, 0.7983497381210327, 0.8573409914970398, 0.8067761659622192, 0.8534249663352966, 0.7842671275138855, 0.709555447101593, 0.7627184391021729, 0.8691354393959045, 0.8216829895973206, 0.6751375198364258, 0.7802651524543762, 0.7056276202201843, 0.8263425827026367, 0.8784493207931519, 0.7436532974243164, 0.8102878928184509, 0.8054486513137817, 0.769894540309906, 0.7694424390792847, 0.8233205676078796, 0.8370910286903381, 0.8621859550476074, 0.8053659200668335]	8	all	24
3	inverse_trace_mc	[0.8290579319000244, 0.814426064491272, 0.8603854775428772, 0.8124180436134338, 0.8344477415084839, 0.7713208794593811, 0.7140909433364868, 0.7622582316398621, 0.8709583282470703, 0.8134624361991882, 0.6677239537239075, 0.7545024752616882, 0.6915588974952698, 0.8219951391220093, 0.895613968372345, 0.756557285785675, 0.7949060201644897, 0.7861142754554749, 0.7787675261497498, 0.7751969695091248, 0.830708920955658, 0.8567877411842346, 0.8710088133811951, 0.8021114468574524]	8	all	24
3	random	[0.8118070960044861, 0.8568883538246155, 0.8546832203865051, 0.7500566840171814, 0.8550931811332703, 0.8284343481063843, 0.7278876900672913, 0.7606842517852783, 0.8880164623260498, 0.8349846601486206, 0.7169060707092285, 0.8151229023933411, 0.7430990934371948, 0.8733069896697998, 0.9134728312492371, 0.7264964580535889, 0.8272325396537781, 0.7917770743370056, 0.7770959138870239, 0.7769558429718018, 0.8067345023155212, 0.8446753621101379, 0.9089786410331726, 0.8327935338020325]	9	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833974003791809, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	9	all	24
3	variance_mc	[0.8278061747550964, 0.787475049495697, 0.8656543493270874, 0.8221316337585449, 0.8486067652702332, 0.7758614420890808, 0.7117313742637634, 0.7531718015670776, 0.8710784912109375, 0.8171418309211731, 0.681128203868866, 0.760348379611969, 0.6957842707633972, 0.8760411143302917, 0.8929358124732971, 0.7635238766670227, 0.8149895071983337, 0.8087514638900757, 0.7786417007446289, 0.7638098001480103, 0.8262385129928589, 0.8342845439910889, 0.8747420310974121, 0.8065988421440125]	9	all	24
3	log_det_mc	[0.8294130563735962, 0.806541919708252, 0.8716995120048523, 0.8191155791282654, 0.8627138137817383, 0.7977564334869385, 0.7251671552658081, 0.7590869665145874, 0.8828153014183044, 0.8108224868774414, 0.6733026504516602, 0.7881187796592712, 0.6947502493858337, 0.8803219795227051, 0.9029993414878845, 0.7610355019569397, 0.8078450560569763, 0.8245658874511719, 0.7752141952514648, 0.7637896537780762, 0.8302077054977417, 0.8280430436134338, 0.8612107634544373, 0.8030267953872681]	9	all	24
3	inverse_trace_mc	[0.8302187323570251, 0.8020155429840088, 0.8532228469848633, 0.7917135953903198, 0.8394617438316345, 0.7784681916236877, 0.7026149034500122, 0.7653270959854126, 0.882779061794281, 0.8129827976226807, 0.6795517802238464, 0.7843138575553894, 0.6939358115196228, 0.8623055219650269, 0.8945772051811218, 0.7547801733016968, 0.8002302646636963, 0.7898781299591064, 0.7757316827774048, 0.7657361626625061, 0.8230846524238586, 0.8381180167198181, 0.8695595264434814, 0.7979074716567993]	9	all	24
3	random	[0.8224664330482483, 0.7846289873123169, 0.857586681842804, 0.8163388967514038, 0.8311278223991394, 0.7885792851448059, 0.6815739274024963, 0.7624295949935913, 0.8738847374916077, 0.82020503282547, 0.6954811215400696, 0.7781829833984375, 0.7253055572509766, 0.8231551647186279, 0.9175605773925781, 0.7015101313591003, 0.835040807723999, 0.7551702260971069, 0.8028318285942078, 0.7889754772186279, 0.8073044419288635, 0.8554992079734802, 0.911258339881897, 0.7879430651664734]	10	all	24
3	variance	[0.8684273958206177, 0.841145396232605, 0.8734976649284363, 0.7705121636390686, 0.8560351133346558, 0.7890909314155579, 0.7191828489303589, 0.8215308785438538, 0.8833678364753723, 0.8700715899467468, 0.7069004774093628, 0.7813766598701477, 0.7092939019203186, 0.8678639531135559, 0.9099135398864746, 0.7714492678642273, 0.7828102707862854, 0.7863425612449646, 0.7575912475585938, 0.7667497992515564, 0.8384850025177002, 0.8376086354255676, 0.8704025149345398, 0.8022468686103821]	10	all	24
3	variance_mc	[0.837517499923706, 0.8182052969932556, 0.8714708685874939, 0.7906400561332703, 0.8529422283172607, 0.7777764201164246, 0.7093694806098938, 0.7574330568313599, 0.8732711672782898, 0.8077915906906128, 0.6672874093055725, 0.7719017863273621, 0.7181039452552795, 0.8437532782554626, 0.899520754814148, 0.742741584777832, 0.8019331097602844, 0.8111314177513123, 0.7758655548095703, 0.7660062313079834, 0.8417494297027588, 0.8296054601669312, 0.8717138767242432, 0.8103726506233215]	10	all	24
3	log_det_mc	[0.8334808349609375, 0.8048930764198303, 0.8677490949630737, 0.8069313168525696, 0.8552728295326233, 0.7724550366401672, 0.7191912531852722, 0.7617590427398682, 0.8691394329071045, 0.814479649066925, 0.6546657681465149, 0.7764293551445007, 0.7008168697357178, 0.8258711099624634, 0.8948890566825867, 0.7510830163955688, 0.7968132495880127, 0.8211161494255066, 0.7729493975639343, 0.7720186710357666, 0.8381078243255615, 0.8466445803642273, 0.8717979788780212, 0.8020004034042358]	10	all	24
3	inverse_trace_mc	[0.8264334201812744, 0.7922018766403198, 0.8609023094177246, 0.8194763660430908, 0.8614789247512817, 0.7990902066230774, 0.7204477787017822, 0.7611708641052246, 0.8838118314743042, 0.8165586590766907, 0.6881315112113953, 0.7858693599700928, 0.6880185008049011, 0.8416067361831665, 0.8928067684173584, 0.7629912495613098, 0.8144629001617432, 0.8083226680755615, 0.7848167419433594, 0.7752887606620789, 0.8261090517044067, 0.8390320539474487, 0.863868236541748, 0.8015018701553345]	10	all	24
