n_task	metric	roi	avg_cos_sim_per_subject
3	variance_mc	visual_cortex	0.2081983707845211
3	variance_mc	visual_cortex	0.3850103333592415
4	inverse_trace_mc	visual_cortex	0.39964687675237653
4	inverse_trace_mc	visual_cortex	0.43203211575746536
4	inverse_trace_mc	visual_cortex	0.31664181053638457
4	inverse_trace_mc	visual_cortex	0.5567987322807312
4	inverse_trace_mc	visual_cortex	0.36561480164527893
4	inverse_trace_mc	visual_cortex	0.47226294279098513
4	inverse_trace_mc	visual_cortex	0.515723904967308
4	inverse_trace_mc	visual_cortex	0.46650901436805725
4	inverse_trace_mc	visual_cortex	0.2980622112751007
4	inverse_trace_mc	visual_cortex	0.49333195984363554
4	inverse_trace_mc	visual_cortex	0.5340456396341324
4	inverse_trace_mc	visual_cortex	0.35418162792921065
4	inverse_trace_mc	visual_cortex	0.3628890186548233
4	inverse_trace_mc	visual_cortex	0.4003046378493309
4	inverse_trace_mc	visual_cortex	0.3903208151459694
4	inverse_trace_mc	visual_cortex	0.5296939641237259
4	inverse_trace_mc	visual_cortex	0.4367969691753387
4	inverse_trace_mc	visual_cortex	0.5210204392671585
4	inverse_trace_mc	visual_cortex	0.4647593259811401
4	inverse_trace_mc	visual_cortex	0.4609122946858406
4	inverse_trace_mc	visual_cortex	0.44806673675775527
4	inverse_trace_mc	visual_cortex	0.4122957125306129
4	inverse_trace_mc	visual_cortex	0.3229146495461464
4	inverse_trace_mc	visual_cortex	0.4358642905950546
4	log_det_mc	visual_cortex	0.37500321716070173
4	log_det_mc	visual_cortex	0.41279787570238113
4	log_det_mc	visual_cortex	0.2877070464193821
4	log_det_mc	visual_cortex	0.5380874454975129
4	log_det_mc	visual_cortex	0.34307091385126115
4	log_det_mc	visual_cortex	0.4247550219297409
4	log_det_mc	visual_cortex	0.4667119726538658
4	log_det_mc	visual_cortex	0.43816402107477187
4	log_det_mc	visual_cortex	0.2517755962908268
4	log_det_mc	visual_cortex	0.46214440017938613
4	log_det_mc	visual_cortex	0.5029448971152306
4	log_det_mc	visual_cortex	0.34243722856044767
4	log_det_mc	visual_cortex	0.3731998786330223
4	log_det_mc	visual_cortex	0.3840354412794113
4	log_det_mc	visual_cortex	0.37058013677597046
4	log_det_mc	visual_cortex	0.4995343789458275
4	log_det_mc	visual_cortex	0.4220139369368553
4	log_det_mc	visual_cortex	0.4909599289298058
4	log_det_mc	visual_cortex	0.43455147594213483
4	log_det_mc	visual_cortex	0.43935765624046325
4	log_det_mc	visual_cortex	0.4273640438914299
4	log_det_mc	visual_cortex	0.35725835561752317
4	log_det_mc	visual_cortex	0.275564382225275
4	log_det_mc	visual_cortex	0.4183968514204025
4	random	visual_cortex	0.35752926468849183
4	random	visual_cortex	0.3875998392701149
4	random	visual_cortex	0.25397463962435723
4	random	visual_cortex	0.487968510389328
4	random	visual_cortex	0.34254625141620637
4	random	visual_cortex	0.37994562834501266
4	random	visual_cortex	0.4463724210858345
4	random	visual_cortex	0.42342250794172287
4	random	visual_cortex	0.25949847400188447
4	random	visual_cortex	0.40468464195728304
4	random	visual_cortex	0.4699858635663986
4	random	visual_cortex	0.3123216211795807
4	random	visual_cortex	0.3221704110503197
4	random	visual_cortex	0.37149391770362855
4	random	visual_cortex	0.3379425972700119
4	random	visual_cortex	0.4737740337848663
4	random	visual_cortex	0.4035804897546768
4	random	visual_cortex	0.4263491928577423
4	random	visual_cortex	0.38970246762037275
4	random	visual_cortex	0.39278114438056944
4	random	visual_cortex	0.40946528762578965
4	random	visual_cortex	0.3140976712107658
4	random	visual_cortex	0.24046627357602118
4	random	visual_cortex	0.3911440968513489
4	variance	visual_cortex	0.37189625948667526
4	variance	visual_cortex	0.3945081040263176
4	variance	visual_cortex	0.27858667597174647
4	variance	visual_cortex	0.532037791609764
4	variance	visual_cortex	0.34303284287452696
4	variance	visual_cortex	0.3930114880204201
4	variance	visual_cortex	0.4366723015904427
4	variance	visual_cortex	0.43942348659038544
4	variance	visual_cortex	0.24702917113900186
4	variance	visual_cortex	0.43650526106357573
4	variance	visual_cortex	0.4860440820455551
4	variance	visual_cortex	0.340329048037529
4	variance	visual_cortex	0.35145367830991747
4	variance	visual_cortex	0.39795251190662384
4	variance	visual_cortex	0.3562151625752449
4	variance	visual_cortex	0.4877076521515846
4	variance	visual_cortex	0.42246646285057066
4	variance	visual_cortex	0.4724253252148628
4	variance	visual_cortex	0.41297360360622404
4	variance	visual_cortex	0.43948879688978193
4	variance	visual_cortex	0.42001152634620664
4	variance	visual_cortex	0.3334814295172691
4	variance	visual_cortex	0.25780361965298654
4	variance	visual_cortex	0.40460012555122377
4	variance_mc	visual_cortex	0.3908735603094101
4	variance_mc	visual_cortex	0.39741501659154893
4	variance_mc	visual_cortex	0.28600979372859003
4	variance_mc	visual_cortex	0.5277411565184593
4	variance_mc	visual_cortex	0.35043427497148516
4	variance_mc	visual_cortex	0.4195722460746765
4	variance_mc	visual_cortex	0.4658553346991539
4	variance_mc	visual_cortex	0.43974454551935194
4	variance_mc	visual_cortex	0.2598336383700371
4	variance_mc	visual_cortex	0.43171683251857756
4	variance_mc	visual_cortex	0.4918992146849632
4	variance_mc	visual_cortex	0.32290368974208833
4	variance_mc	visual_cortex	0.35502265989780424
4	variance_mc	visual_cortex	0.4070473924279213
4	variance_mc	visual_cortex	0.3686840355396271
4	variance_mc	visual_cortex	0.48917205929756163
4	variance_mc	visual_cortex	0.4222599804401398
4	variance_mc	visual_cortex	0.4604231506586075
4	variance_mc	visual_cortex	0.3986868515610695
4	variance_mc	visual_cortex	0.4420869290828705
4	variance_mc	visual_cortex	0.43056769073009493
4	variance_mc	visual_cortex	0.3259045764803886
4	variance_mc	visual_cortex	0.24751677513122558
4	variance_mc	visual_cortex	0.39052442610263827
5	inverse_trace_mc	visual_cortex	0.3986479684710503
5	inverse_trace_mc	visual_cortex	0.41084183305501937
5	inverse_trace_mc	visual_cortex	0.27915233820676805
5	inverse_trace_mc	visual_cortex	0.5458077058196068
5	inverse_trace_mc	visual_cortex	0.3530720457434654
5	inverse_trace_mc	visual_cortex	0.4343797668814659
5	inverse_trace_mc	visual_cortex	0.48505484610795974
5	inverse_trace_mc	visual_cortex	0.46278287321329115
5	inverse_trace_mc	visual_cortex	0.26393033415079115
5	inverse_trace_mc	visual_cortex	0.4543426662683487
5	inverse_trace_mc	visual_cortex	0.5224178701639175
5	inverse_trace_mc	visual_cortex	0.3495591640472412
5	inverse_trace_mc	visual_cortex	0.37485066801309586
5	inverse_trace_mc	visual_cortex	0.41528937220573425
5	inverse_trace_mc	visual_cortex	0.38089317083358765
5	inverse_trace_mc	visual_cortex	0.5177064284682273
5	inverse_trace_mc	visual_cortex	0.4336569905281067
5	inverse_trace_mc	visual_cortex	0.4971702992916107
5	inverse_trace_mc	visual_cortex	0.4116076022386551
5	inverse_trace_mc	visual_cortex	0.4455387741327286
5	inverse_trace_mc	visual_cortex	0.4503501892089844
5	inverse_trace_mc	visual_cortex	0.3555655151605606
5	inverse_trace_mc	visual_cortex	0.26561841666698455
5	inverse_trace_mc	visual_cortex	0.43631093949079514
5	log_det_mc	visual_cortex	0.39493069648742674
5	log_det_mc	visual_cortex	0.41534036546945574
5	log_det_mc	visual_cortex	0.28353357315063477
5	log_det_mc	visual_cortex	0.5353032678365708
5	log_det_mc	visual_cortex	0.3555660918354988
5	log_det_mc	visual_cortex	0.4269353523850441
5	log_det_mc	visual_cortex	0.4844962149858475
5	log_det_mc	visual_cortex	0.46389191299676896
5	log_det_mc	visual_cortex	0.25497372522950174
5	log_det_mc	visual_cortex	0.45127096623182295
5	log_det_mc	visual_cortex	0.51090018004179
5	log_det_mc	visual_cortex	0.34696358889341355
5	log_det_mc	visual_cortex	0.36769719421863556
5	log_det_mc	visual_cortex	0.40851674526929854
5	log_det_mc	visual_cortex	0.3754379257559776
5	log_det_mc	visual_cortex	0.5124728471040726
5	log_det_mc	visual_cortex	0.42607288956642153
5	log_det_mc	visual_cortex	0.4967342630028725
5	log_det_mc	visual_cortex	0.4274722307920456
5	log_det_mc	visual_cortex	0.44534703344106674
5	log_det_mc	visual_cortex	0.4529293984174728
5	log_det_mc	visual_cortex	0.33865223079919815
5	log_det_mc	visual_cortex	0.2722443245351315
5	log_det_mc	visual_cortex	0.4457105204463005
5	random	visual_cortex	0.3534673437476158
5	random	visual_cortex	0.39094632863998413
5	random	visual_cortex	0.26518484875559806
5	random	visual_cortex	0.4986434534192085
5	random	visual_cortex	0.3360626235604286
5	random	visual_cortex	0.38433451652526857
5	random	visual_cortex	0.44610570669174193
5	random	visual_cortex	0.4519294038414955
5	random	visual_cortex	0.26062863394618035
5	random	visual_cortex	0.41535608768463134
5	random	visual_cortex	0.47913139760494233
5	random	visual_cortex	0.31609849333763124
5	random	visual_cortex	0.34140183627605436
5	random	visual_cortex	0.39556515365839007
5	random	visual_cortex	0.3759580999612808
5	random	visual_cortex	0.4794482797384262
5	random	visual_cortex	0.41645449846982957
5	random	visual_cortex	0.44039677530527116
5	random	visual_cortex	0.3995730891823769
5	random	visual_cortex	0.42294281125068667
5	random	visual_cortex	0.42532093822956085
5	random	visual_cortex	0.3245027154684067
5	random	visual_cortex	0.2423825405538082
5	random	visual_cortex	0.40606398284435274
5	variance	visual_cortex	0.36384802758693696
5	variance	visual_cortex	0.40062512159347535
5	variance	visual_cortex	0.28205545991659164
5	variance	visual_cortex	0.5311566531658173
5	variance	visual_cortex	0.3377741679549217
5	variance	visual_cortex	0.4028535604476929
5	variance	visual_cortex	0.4552381470799446
5	variance	visual_cortex	0.4379033833742142
5	variance	visual_cortex	0.2460984170436859
5	variance	visual_cortex	0.4296122223138809
5	variance	visual_cortex	0.4907159522175789
5	variance	visual_cortex	0.33238210082054137
5	variance	visual_cortex	0.3637665197253227
5	variance	visual_cortex	0.4101774454116821
5	variance	visual_cortex	0.3668300285935402
5	variance	visual_cortex	0.49045286029577256
5	variance	visual_cortex	0.4114779204130173
5	variance	visual_cortex	0.47652783542871474
5	variance	visual_cortex	0.4091054856777191
5	variance	visual_cortex	0.4457829877734184
5	variance	visual_cortex	0.42762061804533
5	variance	visual_cortex	0.3300201877951622
5	variance	visual_cortex	0.2567637234926224
5	variance	visual_cortex	0.4042617827653885
5	variance_mc	visual_cortex	0.3990281715989113
5	variance_mc	visual_cortex	0.42065765857696535
5	variance_mc	visual_cortex	0.28617526441812513
5	variance_mc	visual_cortex	0.5307286292314529
5	variance_mc	visual_cortex	0.3348501309752464
5	variance_mc	visual_cortex	0.4359677731990814
5	variance_mc	visual_cortex	0.487706758081913
5	variance_mc	visual_cortex	0.46062597930431365
5	variance_mc	visual_cortex	0.2634531296789646
5	variance_mc	visual_cortex	0.4203100860118866
5	variance_mc	visual_cortex	0.4876021444797516
5	variance_mc	visual_cortex	0.33859928995370864
5	variance_mc	visual_cortex	0.36202632784843447
5	variance_mc	visual_cortex	0.41473868042230605
5	variance_mc	visual_cortex	0.3656891703605652
5	variance_mc	visual_cortex	0.5006335273385047
5	variance_mc	visual_cortex	0.4291853606700897
5	variance_mc	visual_cortex	0.47507320493459704
5	variance_mc	visual_cortex	0.40311009585857394
5	variance_mc	visual_cortex	0.44705525487661363
5	variance_mc	visual_cortex	0.4375956103205681
5	variance_mc	visual_cortex	0.33503640741109847
5	variance_mc	visual_cortex	0.25928262025117876
5	variance_mc	visual_cortex	0.4049787610769272
6	inverse_trace_mc	visual_cortex	0.38153688609600067
6	inverse_trace_mc	visual_cortex	0.4143444836139679
6	inverse_trace_mc	visual_cortex	0.26432678028941153
6	inverse_trace_mc	visual_cortex	0.533282895386219
6	inverse_trace_mc	visual_cortex	0.3366009831428528
6	inverse_trace_mc	visual_cortex	0.42350149899721146
6	inverse_trace_mc	visual_cortex	0.4761054217815399
6	inverse_trace_mc	visual_cortex	0.4697061821818352
6	inverse_trace_mc	visual_cortex	0.27018782645463946
6	inverse_trace_mc	visual_cortex	0.4421582892537117
6	inverse_trace_mc	visual_cortex	0.49920802414417265
6	inverse_trace_mc	visual_cortex	0.3425607353448868
6	inverse_trace_mc	visual_cortex	0.36346648782491686
6	inverse_trace_mc	visual_cortex	0.41113516837358477
6	inverse_trace_mc	visual_cortex	0.3704569339752197
6	inverse_trace_mc	visual_cortex	0.5007735148072243
6	inverse_trace_mc	visual_cortex	0.42278986126184465
6	inverse_trace_mc	visual_cortex	0.47505796551704405
6	inverse_trace_mc	visual_cortex	0.3934385821223259
6	inverse_trace_mc	visual_cortex	0.4337304577231407
6	inverse_trace_mc	visual_cortex	0.4355395957827568
6	inverse_trace_mc	visual_cortex	0.33890158534049986
6	inverse_trace_mc	visual_cortex	0.2510461427271366
6	inverse_trace_mc	visual_cortex	0.4272759944200516
6	log_det_mc	visual_cortex	0.3882561281323433
6	log_det_mc	visual_cortex	0.41303536742925645
6	log_det_mc	visual_cortex	0.2667635314166546
6	log_det_mc	visual_cortex	0.5355547413229942
6	log_det_mc	visual_cortex	0.34099970012903214
6	log_det_mc	visual_cortex	0.43296009600162505
6	log_det_mc	visual_cortex	0.4683666303753853
6	log_det_mc	visual_cortex	0.4678443416953087
