Region	Localizer	Contrast	Value	SEM
Inside	Multitask	Intact>Degraded	0.00706439400329366	0.008695639894837789
Outside	Multitask	Intact>Degraded	-0.016461728624773034	0.007612742861843256
Inside	Multitask	n-back>Rest	-0.031204133141297264	0.013712550523252725
Outside	Multitask	n-back>Rest	0.04272356069524921	0.013214921898698946
Inside	Single-task	Intact>Degraded	0.008962344451709183	0.012829525068200768
Outside	Single-task	Intact>Degraded	-0.016499364911378652	0.007362303588208594
Inside	Single-task	n-back>Rest	0.04546889337507239	0.01952161088895909
Outside	Single-task	n-back>Rest	0.034684068142543864	0.013444017100384524
