threshold	accuracy
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.753968253968254
0.7	0.7333333333333334
0.8	0.6840277777777778
0.9	0.5686274509803921
0.95	0.5098412698412699
0.99	0.4590759953888445
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5671296296296297
0.5	0.5897435897435898
0.6	0.6111111111111112
0.7	0.6177777777777778
0.8	0.5868055555555556
0.9	0.55119825708061
0.95	0.52
0.99	0.4472525198782182
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7619047619047619
0.7	0.8666666666666667
0.8	0.9722222222222223
0.9	0.803921568627451
0.95	0.6571428571428571
0.99	0.49454642192072357
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7380952380952381
0.7	0.7303703703703703
0.8	0.6527777777777778
0.9	0.5816993464052287
0.95	0.4996825396825397
0.99	0.4590759953888445
0.1	0.29292929292929293
0.2	0.3977777777777778
0.3	0.4455667789001122
0.4	0.4583333333333333
0.5	0.49694749694749696
0.6	0.5158730158730159
0.7	0.517037037037037
0.8	0.4930555555555556
0.9	0.5076252723311547
0.95	0.4793650793650794
0.99	0.4590759953888445
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5787037037037037
0.5	0.5946275946275946
0.6	0.5873015873015873
0.7	0.597037037037037
0.8	0.5868055555555556
0.9	0.5555555555555556
0.95	0.5047619047619047
0.99	0.4649877331441577
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5763888888888888
0.5	0.6019536019536019
0.6	0.6084656084656084
0.7	0.6029629629629629
0.8	0.576388888888889
0.9	0.533769063180828
0.95	0.5098412698412699
0.99	0.4708994708994709
0.1	0.29292929292929293
0.2	0.4
0.3	0.4949494949494949
0.4	0.5833333333333333
0.5	0.6703296703296704
0.6	0.7433862433862434
